dataset_id,link,tags,description
NickyNicky/crypto-news-small,https://huggingface.co/datasets/NickyNicky/crypto-news-small,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/medqa-usmle,https://huggingface.co/datasets/NickyNicky/medqa-usmle,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/global-news-dataset,https://huggingface.co/datasets/NickyNicky/global-news-dataset,"['size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/prompts_ranked_808,https://huggingface.co/datasets/NickyNicky/prompts_ranked_808,"['language:en', 'license:apache-2.0', 'size_categories:n<1K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","

	
		
		data generated by.
	

NickyNicky/gemma-2b-it_oasst2_chatML_Cluster2_aya_multilingual_10k_prompts_ranked_all_json_V1


	
		
		808 dataset evaluate.
	

teknium/OpenHermes-2.5


	
		
		Code .ipynb.
	

https://colab.research.google.com/drive/1z26uLnTZWZ994G_dgyghNzh4hF2eEA6Z?usp=sharing

"
NickyNicky/Code-290k-labels-programming_languages-NO_Chatgpt,https://huggingface.co/datasets/NickyNicky/Code-290k-labels-programming_languages-NO_Chatgpt,"['language:en', 'size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","


Para etiquetar los lenguajes de programación en un conjunto de datos extenso de fragmentos de código, se aplicaron técnicas automatizadas de procesamiento de texto y patrones específicos de cada lenguaje, sin recurrir al uso de modelos de lenguaje avanzados como ChatGPT o LLMs. Se inició con la extracción y preparación de datos usando pandas, una biblioteca de análisis de datos en Python, que facilitó la manipulación y el procesamiento del conjunto de datos obtenido de Hugging Face's… See the full description on the dataset page: https://huggingface.co/datasets/NickyNicky/Code-290k-labels-programming_languages-NO_Chatgpt."
NickyNicky/med-qa-en-4options-source_filter,https://huggingface.co/datasets/NickyNicky/med-qa-en-4options-source_filter,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/medical_mtsamples,https://huggingface.co/datasets/NickyNicky/medical_mtsamples,"['size_categories:1K<n<10K', 'format:csv', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/medical_bilingual_en_es,https://huggingface.co/datasets/NickyNicky/medical_bilingual_en_es,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","https://huggingface.co/somosnlp/Sam_Diagnostic

"
NickyNicky/nano_OpenHermes-2.5_chatml_gemma,https://huggingface.co/datasets/NickyNicky/nano_OpenHermes-2.5_chatml_gemma,"['language:en', 'size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
 <bos><start_of_turn>system
You are a helpful AI assistant.<end_of_turn>
<start_of_turn>user
What flies without wings? What passes all things? What mends all sorrow? What brings the morrow?<end_of_turn>
<start_of_turn>model
The answer to the riddle is time. Time flies without wings, passes all things, mends all sorrow, and brings the morrow because it constantly moves forward and affects everything in its path.<end_of_turn><eos>


	
		
	
	
		taken from teknium.… See the full description on the dataset page: https://huggingface.co/datasets/NickyNicky/nano_OpenHermes-2.5_chatml_gemma."
NickyNicky/function-calling-sharegpt_chatml_gemma_agent,https://huggingface.co/datasets/NickyNicky/function-calling-sharegpt_chatml_gemma_agent,"['language:es', 'size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
bos><start_of_turn>system
You are a helpful assistant with access to the following functions. Use them if required -
{
    ""name"": ""create_contact"",
    ""description"": ""Create a new contact"",
    ""parameters"": {
        ""type"": ""object"",
        ""properties"": {
            ""name"": {
                ""type"": ""string"",
                ""description"": ""The name of the contact""
            },
            ""email"": {
                ""type"": ""string"",
                ""description"": ""The email address… See the full description on the dataset page: https://huggingface.co/datasets/NickyNicky/function-calling-sharegpt_chatml_gemma_agent."
NickyNicky/synthetic_text_to_sql_format_chatML_gemma,https://huggingface.co/datasets/NickyNicky/synthetic_text_to_sql_format_chatML_gemma,"['language:en', 'license:apache-2.0', 'size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
  




	
		
		dataset base.
	

gretelai/synthetic_text_to_sql

dataset = load_dataset(""NickyNicky/synthetic_text_to_sql_format_chatML_gemma"")

<bos><start_of_turn>system
You are a helpful AI assistant.
you are a sql expert who responds in json format.<end_of_turn>
<start_of_turn>user
## prompt:
What is the total gold production by 'Site B' in the 'production' table?

## sql context:
CREATE TABLE production (id INT, site VARCHAR(50), year INT, gold_production INT, silver_production… See the full description on the dataset page: https://huggingface.co/datasets/NickyNicky/synthetic_text_to_sql_format_chatML_gemma."
NickyNicky/function-calling_chatml_gemma_v1,https://huggingface.co/datasets/NickyNicky/function-calling_chatml_gemma_v1,"['language:en', 'license:apache-2.0', 'size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		take dataset.
	

hiyouga/glaive-function-calling-v2-sharegpt


	
		
		image tokens (Min: 60 Max: 2099).
	



	
		
		format gemma template.
	

<bos><start_of_turn>system
You are a helpful assistant with access to the following functions.
Use them if required:
<tool>
[
    {
        ""name"": ""convert_currency"",
        ""description"": ""Convert amount from one currency to another"",
        ""parameters"": {
            ""type"": ""object"",
            ""properties"": {
                ""amount"": {… See the full description on the dataset page: https://huggingface.co/datasets/NickyNicky/function-calling_chatml_gemma_v1."
NickyNicky/mlabonne_orpo-dpo-mix-40k,https://huggingface.co/datasets/NickyNicky/mlabonne_orpo-dpo-mix-40k,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","https://huggingface.co/datasets/mlabonne/orpo-dpo-mix-40k

"
NickyNicky/alexredna_oasst2_dpo_pairs,https://huggingface.co/datasets/NickyNicky/alexredna_oasst2_dpo_pairs,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","https://huggingface.co/datasets/alexredna/oasst2_dpo_pairs

"
NickyNicky/orpo-dpo-mix-54k,https://huggingface.co/datasets/NickyNicky/orpo-dpo-mix-54k,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","https://huggingface.co/datasets/alexredna/oasst2_dpo_pairs
https://huggingface.co/datasets/mlabonne/orpo-dpo-mix-40k

"
NickyNicky/DPO_tokenizer_phi_3_test,https://huggingface.co/datasets/NickyNicky/DPO_tokenizer_phi_3_test,"['size_categories:n<1K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/oasst2_orpo_mix_tokenizer_phi_3_v1,https://huggingface.co/datasets/NickyNicky/oasst2_orpo_mix_tokenizer_phi_3_v1,"['language:en', 'language:es', 'license:apache-2.0', 'size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
https://huggingface.co/datasets/NickyNicky/orpo-dpo-mix-54k

"
NickyNicky/function_call_orpo_sft_phi3_chatML_only,https://huggingface.co/datasets/NickyNicky/function_call_orpo_sft_phi3_chatML_only,"['language:en', 'license:apache-2.0', 'size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		take dataset
	

hiyouga/glaive-function-calling-v2-sharegpt


	
		
		load code.
	

from datasets import load_dataset
# unsloth_Phi_3_mini_4k_instruct_unsloth_oasst2_orpo_mix_tokenizer_phi_3_v1_0001
import os
dataset = load_dataset('NickyNicky/function_call_orpo_sft_phi3_only','default')

# sft
data_formater=data_formater.remove_columns(['prompt','chosen','rejected'])


# orpo-dpo
data_formater=data_formater.remove_columns(['Text'])


	
	
	
		sft Column 'Text'.
	

You are a helpful AI… See the full description on the dataset page: https://huggingface.co/datasets/NickyNicky/function_call_orpo_sft_phi3_chatML_only."
NickyNicky/oasst2_orpo_mix_function_call_phi_3_v1,https://huggingface.co/datasets/NickyNicky/oasst2_orpo_mix_function_call_phi_3_v1,"['task_categories:text-generation', 'language:es', 'language:en', 'license:apache-2.0', 'size_categories:100K<n<1M', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
https://huggingface.co/datasets/NickyNicky/function_call_orpo_sft_phi3_chatML_only
https://huggingface.co/datasets/NickyNicky/oasst2_orpo_mix_tokenizer_phi_3_v1


"
NickyNicky/Iker-Colossal-Instruction-Translation-EN-ES_deduplicated,https://huggingface.co/datasets/NickyNicky/Iker-Colossal-Instruction-Translation-EN-ES_deduplicated,"['task_categories:translation', 'language:en', 'language:es', 'license:apache-2.0', 'size_categories:1M<n<10M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		final dataset.
	

https://huggingface.co/datasets/NickyNicky/Iker-Colossal-Instruction-Translation-EN-ES_deduplicated_length_3600


	
		
		original dataset
	

https://huggingface.co/datasets/Iker/Colossal-Instruction-Translation-EN-ES


inicial dataset: ""2.284.632""
deduplicated: ""1.848.374""
remove: ""436.258""


	
		
		Colossal Instruction Translation Corpus (English - Spanish ) (ORIGINAL CARD Iker)
	

This dataset contains 2284632 instructions and answers translated from English into… See the full description on the dataset page: https://huggingface.co/datasets/NickyNicky/Iker-Colossal-Instruction-Translation-EN-ES_deduplicated."
NickyNicky/Iker-Colossal-Instruction-Translation-EN-ES_deduplicated_length_3600,https://huggingface.co/datasets/NickyNicky/Iker-Colossal-Instruction-Translation-EN-ES_deduplicated_length_3600,"['task_categories:translation', 'language:en', 'language:es', 'license:apache-2.0', 'size_categories:1M<n<10M', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		original dataset
	

https://huggingface.co/datasets/Iker/Colossal-Instruction-Translation-EN-ES


	
		
		take dataset
	

https://huggingface.co/datasets/NickyNicky/Iker-Colossal-Instruction-Translation-EN-ES_deduplicated


inicial dataset: ""1.848.342""

good inferences: ""1.698.239""

remove: ""150.103""

2.284.632 - 1.698.239 = 586.393

total deleted: 586.393



	
		
	
	
		Colossal Instruction Translation Corpus (English - Spanish ) (ORIGINAL CARD Iker)
	

This dataset contains 2284632… See the full description on the dataset page: https://huggingface.co/datasets/NickyNicky/Iker-Colossal-Instruction-Translation-EN-ES_deduplicated_length_3600."
NickyNicky/Colossal_Translation_EN_ES_ORPO_DPO_Gemma,https://huggingface.co/datasets/NickyNicky/Colossal_Translation_EN_ES_ORPO_DPO_Gemma,"['task_categories:translation', 'language:en', 'language:es', 'license:apache-2.0', 'size_categories:1M<n<10M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		original dataset
	

https://huggingface.co/datasets/Iker/Colossal-Instruction-Translation-EN-ES


	
		
		take dataset
	

NickyNicky/Iker-Colossal-Instruction-Translation-EN-ES_deduplicated_length_3600


"
NickyNicky/Colossal_Translation_Spanish_to_English_AND_English_to_Spanish_ORPO_DPO_Gemma,https://huggingface.co/datasets/NickyNicky/Colossal_Translation_Spanish_to_English_AND_English_to_Spanish_ORPO_DPO_Gemma,"['task_categories:translation', 'language:en', 'language:es', 'license:apache-2.0', 'size_categories:1M<n<10M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		original dataset
	

https://huggingface.co/datasets/Iker/Colossal-Instruction-Translation-EN-ES


	
		
		take dataset
	

NickyNicky/Iker-Colossal-Instruction-Translation-EN-ES_deduplicated_length_3600


"
NickyNicky/financial_phrasebank_traslate_En_Es,https://huggingface.co/datasets/NickyNicky/financial_phrasebank_traslate_En_Es,"['task_categories:translation', 'language:en', 'language:es', 'license:apache-2.0', 'size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'finance']","
	
		
		time traslation.
	



	
		
		labels.
	


Negativo: 0
Neutral: 1
Positivo: 2


	
		
		model use for traslation.
	

https://huggingface.co/NickyNicky/gemma-1.1-2b-it_orpo_traslate_en_es_V1


	
		
		original dataset:
	

https://huggingface.co/datasets/financial_phrasebank

"
NickyNicky/ner_str_formatted_V1,https://huggingface.co/datasets/NickyNicky/ner_str_formatted_V1,"['language:en', 'license:apache-2.0', 'size_categories:1M<n<10M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","https://huggingface.co/datasets/imvladikon/english_news_weak_ner

"
NickyNicky/toxi-text-es_and_en-2M,https://huggingface.co/datasets/NickyNicky/toxi-text-es_and_en-2M,"['language:en', 'language:es', 'license:apache-2.0', 'size_categories:1M<n<10M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		original dataset
	

https://huggingface.co/datasets/FredZhang7/toxi-text-3M


	
		
		is_toxic.
	

toxic: 1
no toxic: 0


	
		
		Supported types of toxicity:
	

- Identity Hate/Homophobia
- Misogyny
- Violent Extremism
- Hate Speech
- Offensive Insults
- Sexting
- Obscene
- Threats
- Harassment
- Racism
- Trolling
- Doxing
- Others


	
		
		Supported languages:
	

- en
- es

"
NickyNicky/DIBT_prompts_ranked,https://huggingface.co/datasets/NickyNicky/DIBT_prompts_ranked,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","argilla/DIBT_prompts_ranked_synthetic_n3_s1000

"
NickyNicky/DIBT_prompts_ranked_English_to_Spanish_translator,https://huggingface.co/datasets/NickyNicky/DIBT_prompts_ranked_English_to_Spanish_translator,"['task_categories:translation', 'language:en', 'language:es', 'license:apache-2.0', 'size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","https://huggingface.co/datasets/NickyNicky/DIBT_prompts_ranked


	
		
		nota:
	


no se tradujo texto mayor a 2048 tokens,

"
NickyNicky/Finance_sentiment_and_topic_classification_En,https://huggingface.co/datasets/NickyNicky/Finance_sentiment_and_topic_classification_En,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		original dataset.
	

https://huggingface.co/datasets/sujet-ai/Sujet-Finance-Instruct-177k

"
NickyNicky/DIBT_prompts_ranked_En_Es_orpo_dpo_chatML_gemma_V3,https://huggingface.co/datasets/NickyNicky/DIBT_prompts_ranked_En_Es_orpo_dpo_chatML_gemma_V3,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/neovalle_H4rmony_dpo_translated_English_to_Spanish,https://huggingface.co/datasets/NickyNicky/neovalle_H4rmony_dpo_translated_English_to_Spanish,"['task_categories:translation', 'language:en', 'language:es', 'license:mit', 'size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		original dataset.
	

https://huggingface.co/datasets/neovalle/H4rmony_dpo


	
		
		model use _translate.
	

https://huggingface.co/NickyNicky/gemma-1.1-2b-it_orpo_traslate_en_es_V1

"
NickyNicky/Finance_sentiment_and_topic_classification_Translation_English_to_Spanish_v1,https://huggingface.co/datasets/NickyNicky/Finance_sentiment_and_topic_classification_Translation_English_to_Spanish_v1,"['task_categories:translation', 'language:en', 'language:es', 'license:apache-2.0', 'size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'finance']",
NickyNicky/Nectar_evaluate_prompt_all_v1,https://huggingface.co/datasets/NickyNicky/Nectar_evaluate_prompt_all_v1,"['language:en', 'size_categories:100K<n<1M', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/Finance_cryptocurrency_Spanish_5.5k,https://huggingface.co/datasets/NickyNicky/Finance_cryptocurrency_Spanish_5.5k,"['task_categories:question-answering', 'task_categories:summarization', 'task_categories:text-classification', 'language:es', 'license:apache-2.0', 'size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'finance']",
NickyNicky/nano_finance_200k_en_es_chatML_gemma_orpo_dpo,https://huggingface.co/datasets/NickyNicky/nano_finance_200k_en_es_chatML_gemma_orpo_dpo,"['task_categories:text-classification', 'task_categories:summarization', 'task_categories:question-answering', 'language:en', 'language:es', 'license:mit', 'size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us', 'finance']",
NickyNicky/cointelegraph_news_es,https://huggingface.co/datasets/NickyNicky/cointelegraph_news_es,"['language:es', 'size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'news']",
NickyNicky/news_en_100k,https://huggingface.co/datasets/NickyNicky/news_en_100k,"['size_categories:100K<n<1M', 'format:parquet', 'modality:image', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/cointelegraph_news_es_RAG_v1,https://huggingface.co/datasets/NickyNicky/cointelegraph_news_es_RAG_v1,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/noticias_criptomonedas_multiturn_v1,https://huggingface.co/datasets/NickyNicky/noticias_criptomonedas_multiturn_v1,"['size_categories:n<1K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/noticias_criptomonedas_multiturn_v2,https://huggingface.co/datasets/NickyNicky/noticias_criptomonedas_multiturn_v2,"['size_categories:n<1K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/noticias_criptomonedas_multiturn_v3,https://huggingface.co/datasets/NickyNicky/noticias_criptomonedas_multiturn_v3,"['size_categories:n<1K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/noticias_criptomonedas_multiturn_v4,https://huggingface.co/datasets/NickyNicky/noticias_criptomonedas_multiturn_v4,"['size_categories:n<1K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/Rasonamiento_noticias_test,https://huggingface.co/datasets/NickyNicky/Rasonamiento_noticias_test,"['task_categories:text-generation', 'language:es', 'license:apache-2.0', 'size_categories:n<1K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'finance']","
	
		
		Nota:
	

** Se observa alu en las infe
"
NickyNicky/Razonamiento_noticias_v2,https://huggingface.co/datasets/NickyNicky/Razonamiento_noticias_v2,"['task_categories:text-generation', 'language:es', 'license:apache-2.0', 'size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'finance']","
	
		
		Model inference.
	

* https://huggingface.co/KingNish/Reasoning-Llama-3b-v0.1


	
		
		columnas.
	

** news: **
- contiene solo la noticia sin procesar


** query: **
contiene
 - user: consulta del usuario
 - assinstant: respuesta de la IA

{""user"": user, ""assistant"": IA}


** messages: **
- contiene una lista de json

[
  {""role"": ""user"", ""content"": prompt},
  {""role"": ""reasoning"", ""content"": reasoning_output},
  {""role"": ""assistant"", ""content"": response}
]

"
NickyNicky/Human-Like-DPO-Dataset_deduplicated_and_duplicated,https://huggingface.co/datasets/NickyNicky/Human-Like-DPO-Dataset_deduplicated_and_duplicated,"['language:en', 'size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/ngxson_MiniThinky_v1,https://huggingface.co/datasets/NickyNicky/ngxson_MiniThinky_v1,"['size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","original_dataset_v1 = load_dataset(""ngxson/MiniThinky-dataset"")
original_dataset_v3 = load_dataset(""ngxson/MiniThinky-dataset-v3"")

>>  -->

>  -->"
NickyNicky/ngxson_MiniThinky_v1_deduplicated_11_percent,https://huggingface.co/datasets/NickyNicky/ngxson_MiniThinky_v1_deduplicated_11_percent,"['task_categories:text-generation', 'language:en', 'size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/news_rag_spanish_14k_v1,https://huggingface.co/datasets/NickyNicky/news_rag_spanish_14k_v1,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/reasoning-orca-agentinstruct-62k,https://huggingface.co/datasets/NickyNicky/reasoning-orca-agentinstruct-62k,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		original dataset:
	


https://huggingface.co/datasets/sequelbox/Raiden-DeepSeek-R1

"
NickyNicky/reasoning-orca-agentinstruct-62k-len_token-llama,https://huggingface.co/datasets/NickyNicky/reasoning-orca-agentinstruct-62k-len_token-llama,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
NickyNicky/reasoning-orca-agentinstruct-13k-len_token-llama-percentil-20,https://huggingface.co/datasets/NickyNicky/reasoning-orca-agentinstruct-13k-len_token-llama-percentil-20,"['size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
jaeyong2/thai-instruct-raw,https://huggingface.co/datasets/jaeyong2/thai-instruct-raw,"['language:th', 'size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Dataset Card for ""thai_instruct""
	

This data set was created using the Qwen2-72B-Instruct.

	
		
		How to use
	

>>> from datasets import load_dataset

>>> ds = load_dataset(""jaeyong2/thai_instruct"", split=""train"")


	
		
		License
	


Qwen/Qwen2-72B-Instruct : https://huggingface.co/Qwen/Qwen2-72B-Instruct/blob/main/LICENSE


	
		
		Acknowledgement
	

This research is supported by TPU Research Cloud program.
"
jaeyong2/Vietnamese-instruct-raw,https://huggingface.co/datasets/jaeyong2/Vietnamese-instruct-raw,"['language:vi', 'size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Dataset Card for ""Vietnamese_instruct""
	

This data set was created using the Qwen2-72B-Instruct.

	
		
		How to use
	

>>> from datasets import load_dataset

>>> ds = load_dataset(""jaeyong2/Vietnamese_instruct"", split=""train"")


	
		
		License
	


Qwen/Qwen2-72B-Instruct : https://huggingface.co/Qwen/Qwen2-72B-Instruct/blob/main/LICENSE


	
		
		Acknowledgement
	

This research is supported by TPU Research Cloud program.
"
jaeyong2/persona-inst,https://huggingface.co/datasets/jaeyong2/persona-inst,"['language:ja', 'language:ko', 'language:th', 'language:vi', 'license:cc-by-nc-sa-4.0', 'size_categories:1M<n<10M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		How to use
	

>>> from datasets import load_dataset

>>> ds = load_dataset(""jaeyong2/persona-inst"", split=""train"")
>>> ds
Dataset({
    features: ['Level', 'English', 'Korean', 'Thai', 'Vietnamese', 'context'],
    num_rows: 3006572
})


	
	
	
		Development Process
	


Generate persona pair from proj-persona/PersonaHub
We used Qwen/Qwen2-72B-Instruct model to generate Question.


	
		
		License
	


Qwen/Qwen2.5-72B-Instruct :… See the full description on the dataset page: https://huggingface.co/datasets/jaeyong2/persona-inst."
jaeyong2/ja-persona-cot-inst,https://huggingface.co/datasets/jaeyong2/ja-persona-cot-inst,"['language:ja', 'license:cc-by-nc-sa-4.0', 'size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		How to use
	

>>> from datasets import load_dataset

>>> ds = load_dataset(""jaeyong2/ja-persona-cot-inst"", split=""train"")
>>> ds
Dataset({
    features: ['content', 'text'],
    num_rows: 645000
})


	
		
	
	
		Development Process
	


load Question dataset from jaeyong2/persona-inst
We used Qwen/Qwen2-72B-Instruct model to generate answer with COT.


	
	
	
		License
	


Qwen/Qwen2.5-72B-Instruct : https://huggingface.co/Qwen/Qwen2-72B-Instruct/blob/main/LICENSE
proj-persona/PersonaHub… See the full description on the dataset page: https://huggingface.co/datasets/jaeyong2/ja-persona-cot-inst."
jaeyong2/thai-persona-cot-inst,https://huggingface.co/datasets/jaeyong2/thai-persona-cot-inst,"['language:th', 'size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		How to use
	

>>> from datasets import load_dataset

>>> ds = load_dataset(""jaeyong2/thai-persona-cot-inst"", split=""train"")
>>> ds
Dataset({
    features: ['content', 'text'],
    num_rows: 735000
})


	
		
	
	
		Development Process
	


load Question dataset from jaeyong2/persona-inst
We used Qwen/Qwen2-72B-Instruct model to generate answer with COT.


	
	
	
		License
	


Qwen/Qwen2.5-72B-Instruct : https://huggingface.co/Qwen/Qwen2-72B-Instruct/blob/main/LICENSE… See the full description on the dataset page: https://huggingface.co/datasets/jaeyong2/thai-persona-cot-inst."
